OccupationTitle,Description,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
"Education Administrators, Postsecondary","Administrators in this field coordinate or provide educational activities or services at postsecondary institutions such as universities and colleges. Positions include academic dean, financial aid director, registrar, college president, provost, or admissions director.",Management,113620,84280,19,Master's degree,1 to 5 years,None
"Education Teachers, Postsecondary","Education teachers instruct students in educating others. Courses may include counseling, curriculum, guidance, or English as a second language. They facilitate classroom discussions or demonstrations, prepare lessons and assignments, and supervise students' fieldwork.","Education, Training, and Library",63330,59380,17.4,Doctoral or professional degree,None,None
"Educational, Guidance, School, and Vocational Counselors","Workers in this field counsel individuals and offer group educational and vocational guidance services. They help others to overcome personal, social, or behavioral problems and provide crisis intervention to students when traumatic events occur at schools.",Community and Social Service,244560,54130,19,Master's degree,None,None
"Electrical  Repairers, Commercial and Industrial Equipment","Workers in this field repair, test, and install various electronic equipments. They inspect components to prevent or diagnose malfunctions, study blueprints to determine installation procedures, maintain equipment logs, and perform numerous preventative tasks.","Installation, Maintenance, and Repair",67220,52320,1.1,Postsecondary non-degree award,None,Long-term on-the-job training
Electrical and Electronics Engineering Technicians,"These technicians apply electrical and/or electronic theory to design, build, repair, and modify electrical components and machinery for evaluation by the engineering staff. They read blueprints, write reports, and perform preventative maintenance on equipment.",Architecture and Engineering,150020,56900,1.9,Associate's degree,None,None
Electrical Engineers,"Electrical engineers design, create, and test manufacturing and installation of electrical equipment and their components for commercial, industrial, military, or scientific use. They also lead project production efforts to ensure project efficiency.",Architecture and Engineering,154250,85920,7,Bachelor's degree,None,None
"Electrical Installers and Repairers, Transportation Equipment","These workers install and maintain mobile electronic communications on trains, watercraft, and other mobile equipment. They locate and solve malfunctions such as defective wiring, evaluate electrical systems and equipment, and install new equipment as required.","Installation, Maintenance, and Repair",14410,49810,2.1,Postsecondary non-degree award,None,Long-term on-the-job training
Electrical Power-Line Installers and Repairers,"Electrical power-line installers and repairers install different electrical equipment including cables, wires, electrical outlets, electrical poles, and heavy-duty transmission towers. They also test equipment and follow safety protocol to ensure safe work areas.","Installation, Maintenance, and Repair",105570,60190,13.2,High school diploma or equivalent,None,Long-term on-the-job training
"Electrical Repairers, Powerhouse, Substation, and Relay","Workers in this field are required to analyze data to diagnose and evaluate malfunctions and characteristics of systems. They also construct, test, maintain, and repair substation relay and control systems. In addition, workers maintain records of all repairs and tests.","Installation, Maintenance, and Repair",23850,67450,4.9,Postsecondary non-degree award,None,Long-term on-the-job training
Electrical/Electronics Drafters,"Electrical and electronics drafters prepare wire diagrams, circuit board assembly diagrams, and layout drawings for manufacturing, installing, and repairing of electrical equipment.",Architecture and Engineering,28010,54470,5.4,Associate's degree,None,None
Electricians,"Electricians install, maintain, and repair electrical wiring, equipment, and fixtures for electrical systems in homes, businesses, and factories. They work indoors or outdoors and use a variety of tools including power construction equipment and measuring devices.",Construction and Extraction,512290,49320,23.2,High school diploma or equivalent,None,Apprenticeship
Electro-Mechanical Technicians,"Workers in this green career handle electromechanical equipment in areas such as unmanned submarines, aircraft, oil rigs, or hazardous waste removal. They test the performance of machinery, analyze the results, and prepare written documentation of their findings.",Architecture and Engineering,16620,51220,0.5,Associate's degree,None,None
"Electronics Engineers, Excluding  Computer Engineers","Electronic engineers design electronic components for commercial, industrial, military, or scientific use.  They design both software and hardware components and make modifications to existing components to improve technical performance.",Architecture and Engineering,136310,91500,4.9,Bachelor's degree,None,None
"Elementary School Teachers, Except Special Education","Elementary school teachers assist students in learning basic academic, social, and other formative skills. They prepare materials and activities for lessons, establish and enforce classroom rules, and evaluate students' behavior and development.","Education, Training, and Library",1415590,52840,16.8,Bachelor's degree,None,Internship/residency
Elevator Installers and Repairers,"Elevator installers and repairers repair, install, or assemble electric and hydraulic passenger and freight elevators, escalators, moving sidewalks, and dumbwaiters. They also test newly installed equipment for building codes, standards, and specifications.",Construction and Extraction,20440,75060,11.3,High school diploma or equivalent,None,Apprenticeship
"Eligibility Interviewers, Government Programs","Eligibility interviewers evaluate an applicant's need for benefits and assistance (such as welfare, unemployment, social security, and public housing) and through examining documents and interviews, they determine what the applicant qualifies for. ",Office and Administrative Support,120610,41060,3.1,Associate's degree,None,Moderate-term on-the-job training
Emergency Management Directors,"Emergency management directors plan emergency response and crisis management for disasters such as hurricanes, floods, and earthquakes. In addition, they provide training, awareness, and procedure plans for other emergencies including hostage situations.",Management,11050,57270,12.8,Bachelor's degree,1 to 5 years,Long-term on-the-job training
"Engineering Teachers, Postsecondary","Engineering teachers design and instruct courses related to the application of physical laws and principles of engineering. They teach classes pertaining to chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering.","Education, Training, and Library",33660,90680,17.4,Doctoral or professional degree,None,None
"Engineering Technicians, Excluding Drafters","Occupations in this field include non-destructive testing specialists, electrical engineering technologists, electromechanical engineering technologists, photonics technicians, fuel cell technicians, and nanotechnology engineering technologists and technicians.",Architecture and Engineering,65030,58670,4.7,Associate's degree,None,None
"Engineers, All Other","Occupations in this field include biochemical engineers, validation engineers, energy and manufacturing engineers, mechatronics and microsystems engineers, photonics, nanosystems and robotics engineers, wind energy engineers, and solar energy systems engineers.",Architecture and Engineering,125590,90580,6.6,Bachelor's degree,None,None
"English Language and Literature Teachers, Postsecondary","Workers in this field teach classes in English language and literature. Subjects may include comparative literature, linguistics, poetry, or novel structure. They moderate classroom discussion, develop course curriculum, maintain student records, and evaluate assignments.","Education, Training, and Library",72700,61410,17.4,Doctoral or professional degree,None,None
Environmental Engineering Technicians,"Working both out and indoors, environmental engineering technicians carry out the plans that environmental engineers develop. They apply the theory of environmental engineering to test and operate equipment for preventing or cleaning up environmental pollution. ",Architecture and Engineering,19490,44850,24.3,Associate's degree,None,None
Environmental Engineers,"Through the integration of soil science, biology, chemistry, and engineering principles, environmental engineers develop solutions for environmental problems. They work towards improving recycling, waste disposal, public health, and control of water and air pollution.",Architecture and Engineering,50350,79050,21.9,Bachelor's degree,None,None
Environmental Science and Protection Technicians,"Workers perform laboratory and field tests to monitor the environment. Under the direction of environmental scientists, they record test data and prepare reports, summaries, or charts that investigate sources of pollution, including those that affect health.","Life, Physical, and Social Science",30320,42270,23.6,Associate's degree,None,Moderate-term on-the-job training
"Environmental Scientists and Specialists, Including Health",Environmental scientists and specialists research and investigate pollutants or hazards that affect the environment or health of the population. They collect samples to determine what actions can be made to prevent or resolve pollution issues. ,"Life, Physical, and Social Science",83090,62920,18.7,Bachelor's degree,None,None
Executive Secretaries and Executive Admin. Assistants,"These workers provide high-level and quality assistance and support to executives along with training and supervising lower-level administrative staff. They also do research, write reports and letters, arrange conference calls, and schedule meetings.",Office and Administrative Support,952030,45580,12.6,High school diploma or equivalent,1 to 5 years,None
Family and General Practitioners,"Family and general practitioners diagnose, treat, and help prevent common illnesses, diseases, and injuries that effect the general population. In a normal day they prescribe, administer treatment, therapy, medication, vaccination, and give medical care to patients. ",Healthcare Practitioners and Technical Occupations,101800,167000,24.4,Doctoral or professional degree,None,Internship/residency
Farm and Home Management Advisors,"Advisors in this field assist individuals and families involved in agriculture or home economics activities. They train others in product development, sales, use of equipment to demonstrate procedures, and apply research findings to solve related problems.","Education, Training, and Library",10500,45430,16.6,Master's degree,None,None
Fashion Designers,"Fashion designers create original designs through sketches and write construction specifications for workers who sew garments. The designer chooses fabrics, studies design trends, attends fashion shows, and supplies sample garments to agents for fashion shows.","Arts, Design, Entertainment, Sports, and Media",16010,64690,0.2,High school diploma or equivalent,None,Long-term on-the-job training
Film and Video Editors,"Film and video editors conduct the editing process for directors and producers; they assemble and organize raw footage. They also determine specific audio and visual effects, and set up and operate computer editing systems and video equipment to complete a film.","Arts, Design, Entertainment, Sports, and Media",20730,52940,5.2,Bachelor's degree,1 to 5 years,None
Financial Analysts,"Financial analysts provide guidance for the investment programs of public or private institutions. They draw charts and graphs, using computer spreadsheets, to illustrate technical reports and assess the performance of stocks, bonds, and other types of investments.",Business and Financial Operations,226340,75650,23,Bachelor's degree,None,None
Financial Examiners,"Working in an office setting, financial examiners enforce and ensure compliance with laws and regulations governing financial and securities institutions and transactions. They often review balance sheets, operate income and expense accounts, and loan documentation.",Business and Financial Operations,28050,75250,27,Bachelor's degree,None,Moderate-term on-the-job training
Financial Managers,"Financial managers work to provide information, solutions, assistance, and direction toward investments, banking, insurance, and security either at a branch or office. Other occupations include treasurers and controllers.",Management,477690,107160,8.8,Bachelor's degree,More than 5 years,None
"Financial Specialists, All Other","Occupations in this field include financial specialists, financial quantitative analysts, risk management specialists, investment underwriters, and fraud examiners, investigators, and analysts.",Business and Financial Operations,152200,59810,6.1,Bachelor's degree,None,Moderate-term on-the-job training
"Fine Artists, Including Painters, Sculptors & Illustrators","Fine artists, including painters, sculptors, and illustrators develop and bring to existence original artwork using computer software, pens, watercolors, oil, or raw materials. Most work with various mediums and techniques at once.","Arts, Design, Entertainment, Sports, and Media",11830,44600,7.8,High school diploma or equivalent,None,Long-term on-the-job training
Fire Inspectors and Investigators,"Fire inspectors and investigators work to determine the cause of fires and explosions. They also inspect buildings to detect and prevent fire hazards, conduct investigations, enforce local and state laws and ordinances, and maintain accurate and detailed reports.",Protective Service,12560,53330,9.2,High school diploma or equivalent,More than 5 years,Moderate-term on-the-job training
Firefighters,"Firefighters contain and work to extinguish fires, respond to emergency situations, such as safety of other lives, property, and the environment. Other duties may include emergency medical service, hazardous material response, search and rescue, and disaster assistance.",Protective Service,304080,45420,8.6,Postsecondary non-degree award,None,Long-term on-the-job training
First-Line Supervisors of Correctional Officers,"Working in a jail or correctional facility, officers are expected to discipline and maintain order and security in accordance with policies and laws. They also complete administrative tasks, respond to emergencies, and supervise and coordinate activities for jailers.",Protective Service,40980,55030,5.6,High school diploma or equivalent,1 to 5 years,Moderate-term on-the-job training
First-Line Supervisors of Non-Retail Sales Workers,"First-line supervisors plan budgets and work schedules, track accounts, and work with company officials to develop procedures to increase sales. They often lead in the hiring process and coordinate company meetings and activities between departments.",Merr,235630,70520,4,High school diploma or equivalent,More than 5 years,None
First-Line Supervisors of Production and Operating Workers,"These supervisors directly oversee production activities and workers such as inspectors, fabricators and various operators. They follow safety and sanitation procedures, develop work schedules, and inspect materials, products, gauges, and equipment to prevent errors.",Production,559350,53670,1.9,Postsecondary non-degree award,1 to 5 years,None
Food Scientists and Technologists,"Food scientists and technologists develop and research ways to make processed foods safe and healthy, and apply from research to the packaging and preserving of the food. They use chemistry, microbiology, engineering, and other sciences to analyze food content.","Life, Physical, and Social Science",12040,58340,8,Bachelor's degree,None,None
Food Service Managers,"Food service managers supervise operations in an organization or department that serves food. They abide by health guidelines, verify delivery contents from vendors, and work with head chefs to determine preparation methods, portion sizes, and overall presentation.",Management,183940,48110,-3.3,High school diploma or equivalent,1 to 5 years,None
"Foreign Language and Literature Teachers, Postsecondary","Instructors in this field teach courses in languages other than English. This includes foreign languages as well as American Sign Language. Teachers develop lesson plans, facilitate classroom discussions, evaluate papers or assignments and maintain course materials.","Education, Training, and Library",29010,59630,17.4,Doctoral or professional degree,None,None
Forensic Science Technicians,"These technicians gather, identify, and analyze physical evidence related to criminal investigations. They perform tests on weapons or substances to determine significance to the investigation. Specializations include ballistics, fingerprinting, or handwriting.","Life, Physical, and Social Science",12560,52180,18.6,Bachelor's degree,None,Moderate-term on-the-job training
"Funeral Service Managers, Directors and Morticians","Workers in this field coordinate or direct the services or resources of funeral homes. They may coordinate transportation of the body to the mortuary, work with families to arrange details, or assist in the selection of pallbearers and religious officiates. ",Personal Care and Service Occupations,29760,52790,18.2,Associate's degree,None,Apprenticeship
Gaming Supervisors,"Gaming supervisors observe operations and coordinate activities for workers. They also ensure games are covered for each shift, explain operating rules, and may organize and plan gaming activities for guests in hotels and casinos. ",Personal Care and Service Occupations,23080,48820,6.9,High school diploma or equivalent,1 to 5 years,None
Gas Plant Operators,"Using extensive mechanical knowledge, operators control and monitor compressors, refrigeration, flow gauges, and must determine causes of abnormalities to make recommendations. They also ensure that hazardous materials and products are safely stored.",Production,11750,59550,-6.5,High school diploma or equivalent,None,Long-term on-the-job training
General and Operations Managers,"Found in a wide range of industries, general and operations managers coordinate the operations of an organization. They direct activities within different departments, prepare work schedules, oversee financial and budget activities, and determine staffing requirements.",Management,1805030,95150,4.6,Associate's degree,1 to 5 years,None
Geological and Petroleum Technicians,"Technicians in this field assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments to acquire data indicating potential resources such as gas, petroleum, coal, minerals, or metallic ore.","Life, Physical, and Social Science",14680,49690,14.7,Associate's degree,None,Moderate-term on-the-job training
"Geoscientists, Except Hydrologists and Geographers","Geoscientists use geological, physics and mathematics knowledge to study the physical aspects of Earth. They may be involved in the exploration for oil, minerals, gas, or underground water. Geoscientists often work at remote, far away field sites.","Life, Physical, and Social Science",32490,84470,21.2,Bachelor's degree,None,None
Graphic Designers,"Graphic designers create and design artwork for specific products or materials. This can include packaging, displays, logos, or websites. Their work may be showcased online or in print, and is often created by using various software programs.","Arts, Design, Entertainment, Sports, and Media",191550,44010,13.4,Bachelor's degree,None,None
"Health & Safety Engineers, Except Mining Engineer/Inspector","Workers in this field promote safety and knowledge for the industrial processes, mechanics, chemistry, psychology and industrial health safety laws. This also includes engineers who work in industrial product safety, fire-prevention and protection, and product safety.",Architecture and Engineering,23170,75470,13,Bachelor's degree,None,None
"Health Diagnosing and Treating Practitioners, All Other",This field refers to the small percentage of occupations that do not fall into the other health diagnosing and treating practitioner categories.,Healthcare Practitioners and Technical Occupations,32300,70690,19,Master's degree,None,None
Health Educators,"Health educators promote general wellness, healthy behaviors, and lifestyles. They develop and present educational programs and materials to help people make healthy choices. They also serve as a resource to assist individuals and the community with health education.",Community and Social Service,56610,47940,36.5,Bachelor's degree,None,None
"Health Specialties Teachers, Postsecondary","Teachers in this field administer courses in health specialties such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine. They prepare lesson plans, facilitate classroom discussions, and maintain student records.","Education, Training, and Library",153430,79860,17.4,Doctoral or professional degree,None,None
"Healthcare Practitioners and Technical Occupations Workers, All Other*",This field refers to the small percentage of occupations that do not fall into the other healthcare practitioner and technical worker categories. ,Healthcare Practitioners and Technical Occupations,55450,44950,19,Bachelor's degree,None,None
Healthcare Social Workers,"Healthcare social workers provide individuals and families with the support needed to cope with chronic, acute, or terminal illnesses. They advise family caregivers, provide patient education and counseling, and make referrals for other helpful services.",Community and Social Service,133890,48620,33.5,Master's degree,None,None
"Heating, Air Conditioning, and Refrigeration Mechanics ","Heating, air conditioning, and refrigeration mechanics work to install, repair, and maintain heating, central air conditioning, and refrigeration systems. They often travel from site-to-site to repair or replace defective equipment, components, or wiring.  ","Installation, Maintenance, and Repair",231160,43380,33.7,Postsecondary non-degree award,None,Long-term on-the-job training
"History Teachers, Postsecondary","History teachers instruct courses in human history and historiography. Topics may include ancient history, postwar civilizations, American history, or world history. They prepare lesson plans, deliver lectures, moderate classroom discussions, and maintain student records.","Education, Training, and Library",23470,65860,17.4,Doctoral or professional degree,None,None
"Human Resources & Labor Relations Specialists, All Other*","This field refers to the small percentage of occupations that do not fall into the other human resources, training, and labor relations specialist categories. ",Business and Financial Operations,436090,54310,20.5,Bachelor's degree,None,None
Human Resources Managers,"Human resources managers supervise and collaborate with staff and colleagues, along with planning and coordinating activities. They also modify and create compensation and benefits plans for employees and equal employment opportunity policies.",Management,81750,99130,12.9,Bachelor's degree,1 to 5 years,None
Industrial Engineering Technicians,"These engineers may work with electronics in telecommunications, aerospace guidance, acoustics, or instruments and controls. They prepare sketches for construction, design software and product components, and inspect finished products to ensure quality standards.",Architecture and Engineering,63030,49090,4.2,Associate's degree,None,None
Industrial Engineers,"Industrial engineers work to design, develop, test, and evaluate integrated systems for industrial production processes such as cost analysis, inventory and quality control, logistics and material flow, and production coordination.  ",Architecture and Engineering,211490,77240,6.4,Bachelor's degree,None,None
Industrial Machinery Mechanics,"Industrial machinery mechanics are highly skilled workers who keep machinery and industrial equipment in good working order. They repair, install, adjust, and maintain production and processing machinery and pipeline distribution systems.","Installation, Maintenance, and Repair",292470,46270,21.6,High school diploma or equivalent,None,Long-term on-the-job training
Industrial Production Managers,"Industrial production managers plan and coordinate work and resources necessary for production, processing, and distribution for industry organizations. Additionally, they review operations and communicate with staff to resolve production or processing issues.",Management,151850,88190,9.1,Bachelor's degree,1 to 5 years,None
"Information Analysts, Web Dev., & Computer Network Architects","Information technology (IT) is heavily used to advance organizational goals. Security Analysts help secure companies against cyber attacks, web developers create websites, and computer network architects create and maintain internal networks within an organization.",Computer and Mathematical Occupations,272670,77990,21.7,Bachelor's degree,1 to 5 years,None
Instructional Coordinators,"Instructional coordinators manage educational content, develop instructional material, and incorporate current technology in specialized fields. They provide guidelines to educators for developing curriculum and conducting courses.","Education, Training, and Library",130230,59280,19.5,Master's degree,More than 5 years,None
Insurance Appraisers for Auto Damage,Auto insurance appraisers estimate repair costs for insurance claim settlements and prepare insurance forms of estimates and recommendations. They work with clients and repair shops to determine the total-loss value of the vehicle. ,Business and Financial Operations,10950,57020,-7.5,Postsecondary non-degree award,None,Moderate-term on-the-job training
Insurance Sales Agents,Insurance sales agents contact potential customers and sell them various types of insurance. They can work for brokerage companies or single insurance companies. Agents discuss the various types of policies and help customers find the best plan for them. ,Merr,321780,47450,21.9,High school diploma or equivalent,None,Moderate-term on-the-job training
Insurance Underwriters,"Insurance underwriters review individual applications for insurance to determine risk factors, losses, catastrophe, and evaluate policies. In addition, they also review company records to determine the amount of insurance for a single risk or group.",Business and Financial Operations,92840,60830,5.9,Bachelor's degree,None,Moderate-term on-the-job training
Interior Designers,"Interior designers plan, arrange, and furnish interiors of residential, commercial, or industrial buildings. They formulate a practical and aesthetic design that is conducive to intended purposes. Some specialize in a specific field, style, or phase of interior design.","Arts, Design, Entertainment, Sports, and Media",40950,47620,19.3,Bachelor's degree,None,None
"Internists, General","General internists diagnose and provide non-surgical treatment of diseases and internal organ problems. Providing care primarily for adults with problems such as hypertension, heart disease, diabetes, and problems of the lungs, brain, kidney, and gastrointestinal tract. ",Healthcare Practitioners and Technical Occupations,46740,183170,24.4,Doctoral or professional degree,None,Internship/residency
Interpreters and Translators,"Interpreters and translators help people interpret oral or sign language, or translate text and information from a foreign language to one that the person is fluent in. They work in schools, hospitals, courtrooms, and conference centers.","Arts, Design, Entertainment, Sports, and Media",47950,44160,42.2,Bachelor's degree,None,Long-term on-the-job training
"Judges, Magistrate Judges, and Magistrates","Workers in this career field work on criminal cases, sentence defendants, perform wedding ceremonies or arbitrate, advise, adjudicate, or administer justice in a court of law. They also advise other legal workers regarding conduct, issues, and proceedings.",Legal,26570,120130,9.2,Doctoral or professional degree,More than 5 years,Short-term on-the-job training
Judicial Law Clerks,"Judicial law clerks inform and communicate with judges about research done in preparation for legal documents. They review complaints, petitions, motions, pleadings, and dockets of pending litigation. Judicial law clerks must have excellent research skills.",Legal,18300,42450,7.7,Doctoral or professional degree,None,None
"Kindergarten Teachers, Except Special Education","Kindergarten teachers instruct basic natural and social science, music, art, and literature to students. They assist in physical, mental, and social development. They prepare activities to teach simple skills such as colors, shapes, numbers, and letters.","Education, Training, and Library",164910,49520,18.2,Bachelor's degree,None,Internship/residency
Landscape Architects,"Landscape architects design land areas for parks, airports, highways, schools, and other recreational facilities. They must inspect the land and prepare cost estimates, prepare examples of proposed plans, and identify appropriate materials for use in landscape designs.",Architecture and Engineering,15760,63240,16,Bachelor's degree,None,Internship/residency
"Landscaping, Lawn Service & Groundskeeping Supervisors","Supervisors in this field manage and coordinate the activities of landscapers or groundskeepers. They may establish and enforce operating procedures, schedule work for crews, and inspect completed work to ensure quality standards are met. ",Building and Grounds Cleaning and Maintenance,100460,42050,15.1,High school diploma or equivalent,1 to 5 years,None
"Law Teachers, Postsecondary","Law teachers educate students on matters pertaining to law such as civil procedures, contracts, and torts. They prepare course materials, develop lesson plans, evaluate assignments, and advise students on academic or career issues.","Education, Training, and Library",14980,93330,17.4,Doctoral or professional degree,None,None
Lawyers,"Lawyers represent clients for civil and criminal cases and legal proceedings, communicate and develop legal documents, and advise clients on legal issues. Additionally, lawyers may specialize in a specific area of law or in many areas they may be interested in.",Legal,570950,113310,10.1,Doctoral or professional degree,None,None
Legal Secretaries,"A legal secretary prepares and delivers legal documents including summonses, complaints, motions, and subpoenas. There are general secretarial duties (scheduling appointments, mailing and faxing, etc.) but strong legal terminology and research skills are  also required.",Office and Administrative Support,220680,42460,3.5,High school diploma or equivalent,None,Moderate-term on-the-job training
Legal Support Workers and All Other,"Occupations in this field include court reporters, law clerks, title examiners, abstractors, and searchers.",Legal,44720,52390,2.6,High school diploma or equivalent,None,Short-term on-the-job training
Librarians,"Librarians work in areas including public libraries, schools, museums, corporations, government agencies, law firms, non-profit organizations, or healthcare. They also classify, circulate, and maintain library materials, in addition to strategic research.","Education, Training, and Library",145710,55300,6.9,Master's degree,None,None
Licensed Practical and Licensed Vocational Nurses,"Licensed practical nurses (LPN) and licensed vocational nurses (LVN) provide basic nursing care for disabled, ill, or injured people in hospitals, nursing homes, clinics, private homes, or group homes. They work under the direction of registered nurses and doctors.",Healthcare Practitioners and Technical Occupations,729140,41150,22.4,Postsecondary non-degree award,None,None
"Life Scientists, All Other",This field refers to the small percentage of life scientists whose job duties aren't listed separately.,"Life, Physical, and Social Science",10020,64370,11.7,Bachelor's degree,None,None
"Life, Physical, and Social Science Technicians, All Other","Occupations in this field include quality control analysts, precision agriculture technicians, and remote sensing technicians.","Life, Physical, and Social Science",58890,43120,11.8,Associate's degree,None,Moderate-term on-the-job training
Loan Officers,Officers obtain and collect copies of individual's credit histories and other financial information to determine feasibility of granting loans. They explain loan options and ensure applications are complete and accurate before submitting to credit analysts for review.,Business and Financial Operations,284530,58030,14.2,High school diploma or equivalent,None,Moderate-term on-the-job training
Locomotive Engineers,"Train engineers drive electric, steam, and other locomotives to transport passengers or freight. They follow conductor's signals and keep alert for emergency conditions on the tracks, check brakes, brake lines, gauges, and other parts of the train before travel.",Transportation and Material Moving,38790,49380,4.4,High school diploma or equivalent,1 to 5 years,Moderate-term on-the-job training
Lodging Managers,"Lodging managers provide accommodations for guests, maintain order and coordinate hotel activities. Additionally, they may greet and register guests, inspect rooms and restrooms for cleanliness, and observe and manage staff. ",Management,29870,47450,8.3,High school diploma or equivalent,1 to 5 years,None
Logisticians,"The life cycle of a product including acquisition, distribution, internal allocation, delivery, and final disposal of resources revolves around the logistician. They analyze and coordinate the logistical functions of a firm or organization's supply chain. ",Business and Financial Operations,112310,71910,25.5,Bachelor's degree,1 to 5 years,None
Management Analysts,"Management analysts analyze business operations and propose new ways to increase organizational efficiencies. They give advice to management and make recommendations on how a company can lower costs, increase revenues, and increase overall profitability. ",Business and Financial Operations,538950,78490,21.9,Bachelor's degree,1 to 5 years,None
"Managers, All Other","Occupations in this field include managers of regulatory affairs, compliance, investment fund, supply chain, security, loss prevention, wind energy operations managers, wind energy project managers, and brownfield redevelopment specialists and site managers.",Management,343560,99540,7.9,High school diploma or equivalent,1 to 5 years,None
Market Research Analysts and Marketing Specialists*,"Market research analysts and marketing specialists analyze market conditions in local, regional, or national areas, and create marketing campaigns or recommendations. They help companies determine what products people want, who will buy them, and for how much.",Business and Financial Operations,318190,60250,41.2,Bachelor's degree,None,None
Marketing Managers,"Marketing managers lead a company's marketing initiatives; they coordinate market research studies and analyze their findings, evaluate financial aspects of a project, identify market strategy and potential customers, and work to maximize the firm's profits.",Management,168410,116010,13.6,Bachelor's degree,1 to 5 years,None
Marriage and Family Therapists,"Marriage and family therapists treat mental health and emotional disorders within the context of marriage or family settings for a wide variety of people. They listen to clients, ask questions, and develop strategies to help fix problems and improve patients' lives. ",Community and Social Service,33990,46240,41.2,Master's degree,None,Internship/residency
Materials Engineers,"Materials engineers plan and implement operations in laboratories to develop procedures for materials that also meet cost, specifications for products, and performance standards. They may also supervise other engineers, scientists, or technologists and technicians.",Architecture and Engineering,22160,84550,8.7,Bachelor's degree,None,None
"Mathematical Science Teachers, Postsecondary","Teachers in this field instruct courses pertaining to mathematical concepts, statistics and actuarial science. Topics may include linear algebra, differential equations or discrete mathematics. They prepare and maintain student records, course materials and lesson plans.","Education, Training, and Library",53650,66680,17.4,Doctoral or professional degree,None,None
Mechanical Drafters,"Mechanical drafters develop and prepare diagrams of machinery and mechanical devices that of which include fastening methods, engineering information and dimensions. They also create illustrations and blueprints for manuals, mechanical equipment, dies, and tools.",Architecture and Engineering,64090,49200,11.1,Associate's degree,None,None
Mechanical Engineering Technicians,"Technicians in this field develop and modify machinery and equipment, analyze test results for machinery to meet specifications, and read various controls to determine parts performance. They work under the direction of engineering staff or physical scientists.",Architecture and Engineering,44760,51350,3.9,Associate's degree,None,None
Mechanical Engineers,"Mechanical engineers help plan and design engineering tools, engines, machines, and other mechanical equipment. They also work on maintenance, repair, installation, and operation for centralized heat, gas, water, and steam systems. ",Architecture and Engineering,238260,79230,8.8,Bachelor's degree,None,None
"Media and Communication Equipment Workers, All Other",This field refers to the small percentage of media and communication equipment workers whose job duties aren't listed separately.,"Arts, Design, Entertainment, Sports, and Media",14690,69160,0.3,High school diploma or equivalent,None,Moderate-term on-the-job training
"Media and Communication Workers, All Other",This field refers to the small percentage of media and communication workers whose job duties aren't listed separately.,"Arts, Design, Entertainment, Sports, and Media",23610,43580,11.4,High school diploma or equivalent,None,Short-term on-the-job training
Medical and Clinical Laboratory Technologists,"Medical and clinical laboratory technologists perform complex medical lab tests for treatment, prevention, and diagnosis of diseases.  In addition to daily tasks, they may also supervise or train new staff such as lab assistants or technicians.",Healthcare Practitioners and Technical Occupations,165220,57010,11.3,Bachelor's degree,None,None
Medical and Health Services Managers,"Medical and health services managers, also called healthcare executives or healthcare administrators, plan, direct, and coordinate medical services in hospitals, clinics, managed care organizations, public health agencies, or similar healthcare organizations.",Management,287560,86400,22.4,Bachelor's degree,None,None
Medical Equipment Repairers,"The medical equipment used in hospital and clinics is maintained and installed by these repairers. Medical equipment repairers test, calibrate, and adjust biomedical and electromedical equipment following the manufacturer's manual and troubleshooting techniques.","Installation, Maintenance, and Repair",34710,44870,31.5,Associate's degree,None,Moderate-term on-the-job training
"Medical Scientists, Except Epidemiologists","Medical scientists, except epidemiologists, conduct research to better understand human diseases and improvement of human health. They plan, direct, and participate in studies involving clinical investigations, and both research and development.","Life, Physical, and Social Science",95220,76130,36.4,Doctoral or professional degree,None,None
"Meeting, Convention, and Event Planners*","Meeting, convention, and event planners are in charge or running, planning, coordinating, and arranging all of the details of group meetings, gatherings, conventions, or events for organizations. The monitor the event to ensure success throughout all activities.",Business and Financial Operations,64020,46020,43.7,Bachelor's degree,Less than 1 year,None
Microbiologists,"Microbiologists investigate the growth, development, and structure of different plants and organisms including bacteria, algae, and fungi. They use microscopes to identify and observe microorganisms and study the structure of plant tissues, cells, pathogens, and toxins.","Life, Physical, and Social Science",17660,65230,13.3,Bachelor's degree,None,None
"Middle School Teachers, Except Special & Technical Ed.","Middle school teachers instruct students in one or more subjects at the middle, intermediate, or junior high level. They prepare and grade tests and assignments, maintain student records, and teach lessons using lectures, discussions, or activities. ","Education, Training, and Library",642820,53130,16.9,Bachelor's degree,None,Internship/residency
Millwrights,"Millwrights work with various types of heavy equipment and machinery in a wide range of industries. Their ensure proper functioning of belts and motors, install and dismantle machines with hand tools and power tools, operate forklifts, and read blueprints.","Installation, Maintenance, and Repair",37730,49270,-4.8,High school diploma or equivalent,None,Long-term on-the-job training
"Mobile Heavy Equipment Mechanics, Except Engines","Mechanics in this field diagnose and repair mobile equipment used in construction, logging, and surface mining. This requires them to replace damaged parts, diagnose malfunctions, and perform routine maintenance work on cranes, bulldozers, graders, or conveyors. ","Installation, Maintenance, and Repair",109810,45600,16.2,High school diploma or equivalent,None,Long-term on-the-job training
