OccupationTitle,Description,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
"Atmospheric, Earth, Marine, and Space Sciences Teachers ","Teachers in this field administer courses in the physical sciences, except chemistry and physics. Subjects may include geology, atmospheric science, oceanic science, astronomy, and earth science. They must supervise field work, deliver lectures, and conduct research.","Education, Training, and Library",10660,83140,17.4,Doctoral or professional degree,None,None
Audio and Video Equipment Technicians,"These technicians install, adjust, and operate audio and video equipment such as microphones, sound speakers, video screens, projectors, video monitors, recording equipment, and lighting systems. They are also part of the editing and design layout process.","Arts, Design, Entertainment, Sports, and Media",49180,41630,13.4,Postsecondary non-degree award,None,Moderate-term on-the-job training
Audiologists,"Audiologists assess, treat, counsel, and otherwise help people with hearing and balance disorders. They use advanced technology to fit hearing aids, provide auditory training, and may perform research related to hearing problems and diseases.   ",Healthcare Practitioners and Technical Occupations,12490,68390,36.8,Doctoral or professional degree,None,None
Avionics Technicians,"Avionics technicians work with aircraft and space vehicles to install, inspect, test, adjust, and repair avionics equipment such as radar, navigation, radio, and mission control systems. They also interpret flight test data to determine malfunctions.","Installation, Maintenance, and Repair",17070,54720,6.9,Postsecondary non-degree award,None,None
Biochemists and Biophysicists,"Biochemists and biophysicists study the chemical and physical principles of living things. In a laboratory, they conduct research to further the understanding of complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. ","Life, Physical, and Social Science",25160,79230,30.8,Doctoral or professional degree,None,None
"Biological Science Teachers, Postsecondary","Biology teachers instruct courses in biological science. They may be expected to develop and deliver lectures or lessons related to molecular biology, marine biology and botany. They supervise classwork, maintain student records and prepare course materials.","Education, Training, and Library",50090,74110,17.4,Doctoral or professional degree,None,None
"Biological Scientists, All Other","Occupations in this field include bioinformatics scientists, molecular and cellular biologists, and geneticists.","Life, Physical, and Social Science",31550,70790,6.3,Doctoral or professional degree,None,None
Biomedical Engineers,"Using engineering, biology, and biomechanical principles, biomedical engineers develop, design, and evaluate health systems and products. They work with artificial organs, prostheses, instrumentation, medical information, and care delivery systems.",Architecture and Engineering,16590,84670,61.7,Bachelor's degree,None,None
Boilermakers,"Boilermakers are trained craftsmen who maintain, assemble, and install large vessels that hold hot liquids and gases. They work on diverse projects ranging from bridges to blast furnaces, to the construction of mining equipment and hot water boilers used for heating.",Construction and Extraction,18850,56910,21.3,High school diploma or equivalent,None,Apprenticeship
Brickmasons and Blockmasons,"Brickmasons and blockmasons use bricks, natural stones, structural tile, glass blocks, and concrete blocks to build, repair, and maintain a variety of structures. They work both indoors and outdoors and use a variety of power and hand tools to help complete the job.",Construction and Extraction,62560,46800,40.5,High school diploma or equivalent,None,Apprenticeship
Brokerage Clerks,"Brokerage clerks perform duties related to the purchase, sale, and holding of important documents. Duties include writing orders for stock purchases and sales, receipts, transmittal papers, computing transfer taxes, and verifying stock transactions and holdings.",Office and Administrative Support,60720,41760,5.9,High school diploma or equivalent,None,Moderate-term on-the-job training
Budget Analysts,"Budget analysts examine budgets for accuracy and completeness in addition to adhering to procedures and regulations. They gather and analyze accounting records, budgets, and other data to determine operation needs and alternative finance methods.",Business and Financial Operations,57110,69090,10.4,Bachelor's degree,None,None
Bus and Truck Mechanics and Diesel Engine Specialists,"Workers in this field maintain and repair buses and trucks, as well as different types of diesel engines. They inspect, repair, and maintain all automotive and mechanical parts or equipment.","Installation, Maintenance, and Repair",222940,41640,14.5,High school diploma or equivalent,None,Long-term on-the-job training
Business Operations Specialists and All Other*,"Occupations in this field include energy auditors, security management specialists, customs brokers, business continuity planners, sustainability specialists, and online merchants.",Business and Financial Operations,967250,64030,11.6,High school diploma or equivalent,Less than 1 year,Long-term on-the-job training
"Business Teachers, Postsecondary","Postsecondary business teachers instruct courses in business administration and management such as accounting, marketing, finance, and human resources. They must evaluate and grade students' work, facilitate classroom discussions, and prepare course materials.","Education, Training, and Library",82090,74770,17.4,Doctoral or professional degree,None,None
"Buyers and Purchasing Agents, Farm Products","Workers in this field purchase farm products for processing or resale. Typically, they purchase for tree farm contractors, grain brokers, market operators, and grain and tobacco buyers. They review orders and arrange processing and transportation for purchased products.",Business and Financial Operations,10180,55860,5.5,High school diploma or equivalent,None,Long-term on-the-job training
"Camera Operators, Television, Video, and Motion Picture","Camera operators capture images and record scenes for TV, advertising, video production, motion pictures, and various other purposes. They apply technical aspects, make edits for production, and often handle sound and lighting equipment.","Arts, Design, Entertainment, Sports, and Media",16270,40170,2.1,Bachelor's degree,None,Moderate-term on-the-job training
"Captains, Mates, and Pilots of Water Vessels",Workers in this field command or supervise operations of ships and water vessels such as tugboats or ferryboats. They must acquire a license issued by the U.S. Coast Guard.,Transportation and Material Moving,30220,63920,20.4,Bachelor's degree,None,None
Cardiovascular Technologists and Technicians,"Using imaging technology, cardiovascular technologists and technicians help physicians diagnose cardiac and peripheral ailments in patients. They also use electrocardiogram equipment and explain the testing procedures to patients to reduce anxiety.  ",Healthcare Practitioners and Technical Occupations,50410,51020,29.3,Associate's degree,None,None
"Career/Technical Education Teachers, Middle School","Teachers in this field work with students in public and private schools for middle, intermediate and junior high schools. They create and implement lesson plans for career and technical or vocational subjects, and adapt materials according to students' needs.","Education, Training, and Library",16870,54050,8.9,Bachelor's degree,1 to 5 years,Internship/residency
"Career/Technical Education Teachers, Secondary School","These teachers work at the secondary school level (public or private) and instruct occupational, career and technical, or other vocational subjects. Teachers administer and grade tests, maintain accurate student records, and establish lesson plans.","Education, Training, and Library",88210,54660,1.1,Bachelor's degree,1 to 5 years,Internship/residency
Carpenters,"Carpenters construct, install, or repair structures and fixtures made of wood. This includes concrete forms, building frameworks, wood stairways, hardwood floors, or window and door frames. They may also install cabinets, siding, or drywall.",Construction and Extraction,578910,40010,19.6,High school diploma or equivalent,None,Apprenticeship
Cartographers and Photogrammetrists,"Cartographers and photogrammetrists collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data. They make, research, and study maps and charts for political, cultural, educational, and other purposes.",Architecture and Engineering,11240,55970,22.2,Bachelor's degree,None,None
Chefs and Head Cooks,"Chefs and head cooks often do more directing and supervising than cooking; they plan and price menu items, check food quality and food safety regulations, inspect and order kitchen supplies, and instruct other cooks on the preparation and complete presentation of food.",Food Preparation and Serving Related Occupations,90300,42350,-0.8,High school diploma or equivalent,1 to 5 years,None
Chemical Engineers,"Chemical engineers design chemical plant equipment and plan processes for manufacturing chemicals and products including cement, detergents, gasoline, paper, and plastic. They also determine effective arrangements for operations, perform tests, and monitor performance.",Architecture and Engineering,27860,92930,5.9,Bachelor's degree,None,None
Chemical Equipment Operators and Tenders,"In order to prevent fires or explosions, chemical equipment operators regulate machines, inspect equipment, test product samples, record data, monitor gauges and meters, and follow extensive safety protocols to maintain the facility.",Production,49020,45550,-7.5,High school diploma or equivalent,None,Moderate-term on-the-job training
Chemical Plant and System Operators,"These operators control various chemical process machines, examine samples of product for quality tests, strictly follow safety regulations, and follow equipment protocol during emergency situations. They are in charge of many vital roles within a chemical plant.",Production,40580,55940,-12.2,High school diploma or equivalent,None,Long-term on-the-job training
Chemical Technicians,"Chemical technicians conduct laboratory tests to assist scientists in qualitative and quantitative analysis of gas, liquid, and solid material for development and research. This development or research may include work in experimental, theoretical, or practical chemistry.","Life, Physical, and Social Science",59650,42070,6.7,Associate's degree,None,Moderate-term on-the-job training
"Chemistry Teachers, Postsecondary",Postsecondary chemistry teachers instruct classes pertaining to the chemical and physical properties and compositional changes of substances. They teach methods of qualitative and quantitative chemical analysis. Instructors may also take part in research and field work.,"Education, Training, and Library",20830,70960,17.4,Doctoral or professional degree,None,None
Chemists,"In laboratories, chemists create analyses and conduct experiments by various analytical methods. They prepare test solutions, compile and analyze test information, and determine equipment or process efficiency. They handle lab malfunctions and errors as necessary.","Life, Physical, and Social Science",80040,69760,3.8,Bachelor's degree,None,None
Chief Executives,"As the highest level of management, chief executives appoint department managers, direct human resources activities, approve contracts with suppliers and distributors, implement policies, and determine where improvements and changes can be made within the company.",Management,267370,166910,4.2,Bachelor's degree,More than 5 years,None
"Child, Family, & School Social Workers","Workers in this field help improve the social and psychological functioning of children and their families. They may assist parents, arrange adoptions, or find foster homes for endangered children. They may help with teenage pregnancy and misbehavior or truancy in schools.",Community and Social Service,276510,40680,19.7,Bachelor's degree,None,None
Chiropractors,"Workers in this field assess, treat, and care for patients by making alignments to their spine, pelvic, and musculoskeletal system. They analyze x-rays, locate the source of the problem and use their hands to make manual adjustments to the patient's body. ",Healthcare Practitioners and Technical Occupations,27510,66060,28.3,Doctoral or professional degree,None,None
Civil Engineering Technicians,"Civil engineering technicians plan, design, and construct maintenance of structures and facilities under direction from engineering staff and physical scientists. Other duties include drafting of drawings for layouts of future projects for specific specifications.",Architecture and Engineering,71890,46900,12,Associate's degree,None,None
Civil Engineers,"Civil engineers plan, design, and oversee construction and maintenance of building structures and facilities. This may include roads, railroads, irrigation projects, airports, bridges, harbors, channels, dams, power plants, or water and sewage systems.",Architecture and Engineering,254130,77990,19.4,Bachelor's degree,None,None
"Claims Adjusters, Examiners, and Investigators","Within an insurance agency, these workers evaluate property damage, conduct interviews to compile information for review, calculate benefit payments, and examine forms to determine extent of liability. They require strong analytical, negotiation, and interview skills.",Business and Financial Operations,263810,59320,3,High school diploma or equivalent,None,Long-term on-the-job training
